Регіон,Рада,Тип ради,Партія,ТВО/ОВО,"Прізвище, ім’я, по батькові",Відомості,Кількість отриманих голосів,% голосів від квоти,"Виборчий округ, в якому обрано"
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Перший кандидат,Камінський Валерій Владиславович,"Громадянин України, народився 26.08.1983 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", ТОВ ""Інномед-центр ендохірургії"", Лікар уролог, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",,,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",1,Чайковський Павло Миколайович,"Громадянин України, народився 07.02.1985 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Філія–Вінницьке обласне управління АТ ""Ощадбанк"", Начальник відділу організації роздрібного кредитування, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",610.0,43.5,1
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Синявська Інна Олександрівна,"Громадянка України, народилася 04.06.1975 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", ФОП Вихристюк Ірина Олександрівна, Комерційний директор, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",237.0,16.9,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2,Гаврилова Олена Анатоліївна,"Громадянка України, народилася 29.09.1965 р., освіта професійно-технічна, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: с. Вінницькі Хутори, Вінницький р-н, Вінницька обл.",405.0,28.88,2
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",3,Майструк Олександр Олександрович,"Громадянин України, народився 21.08.1990 р., освіта загальна середня, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", КП ""Вінницький обласний молодіжний центр праці "", виконуючий обов’язки директора, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",746.0,53.2,3
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",4,Понайотова Юлія Віталіївна,"Громадянка України, народилася 27.02.1975 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",480.0,34.23,4
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",5,Сергійчук Сергій Петрович,"Громадянин України, народився 24.11.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",132.0,9.41,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",5,Верлан-Кульшенко Олена Олександрівна,"Громадянка України, народилася 13.07.1971 р., освіта вища, безпартійна, Фізична особа-підприємець, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",311.0,22.18,ЄБВО
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",6,Заремба В’ячеслав Броніславович,"Громадянин України, народився 27.07.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", ПП ""АН ""ОЛІМП"", Директор, місце проживання: м. Вінниця, Вінницький р-н., Вінницька обл.",855.0,60.98,6
Вінницька область,Вінницька міська рада,Міські,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Перший кандидат,Алекса Олег Юрійович,"Громадянин України, народився 16.04.1966 р., освіта вища, безпартійний, Фізична особа підприємець, місце проживання: м. Вінниця, Вінницький р-н, Вінницька обл.",,,ЄБВО
