Партія,Регіон,Рада,Кількість обраних,Кількість висунутих
Аграрна партія України,Волинська область,Берестечківська міська рада,8,
Аграрна партія України,Волинська область,Горохівська міська рада,6,26
Аграрна партія України,Волинська область,Камінь-Каширська міська рада,0,28
Аграрна партія України,Волинська область,Ковельська міська рада,6,24
Аграрна партія України,Волинська область,Ківерцівська міська рада,0,26
Аграрна партія України,Волинська область,Луцька міська рада,0,40
Аграрна партія України,Волинська область,Рожищенська міська рада,0,16
Аграрна партія України,Дніпропетровська область,Апостолівська міська рада,2,16
Аграрна партія України,Дніпропетровська область,П'ятихатська міська рада,0,17
Аграрна партія України,Дніпропетровська область,Підгородненська міська рада,2,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Володимир-Волинська міська рада,4,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Горохівська міська рада,3,24
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Камінь-Каширська міська рада,5,32
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Ковельська міська рада,5,38
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Ківерцівська міська рада,4,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Луцька міська рада,9,39
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Любомльська міська рада,2,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Нововолинська міська рада,6,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Рожищенська міська рада,5,26
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Волинська область,Устилузька міська рада,3,
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Іллінецька міська рада,4,23
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Барська міська рада,4,34
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Бершадська міська рада,4,33
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",Вінницька область,Вінницька міська рада,9,54
